%t            	w            	v            	u            	S           	mu
0.00000e+000	0.00000e+000	0.00000e+000	5.00000e+001	0.00000e+000	0.00000e+000
1.00000e-003	5.00000e-002	0.00000e+000	5.00000e+001	1.00000e+001	6.30000e-001
2.00000e-003	9.38010e-002	6.17400e-003	5.00000e+001	1.00000e+001	6.30000e-001
3.00000e-003	1.37580e-001	1.23480e-002	5.00000e+001	1.00000e+001	6.30000e-001
4.00000e-003	1.81337e-001	1.85220e-002	5.00000e+001	8.79037e+000	6.30000e-001
5.00000e-003	2.25073e-001	2.46960e-002	5.00000e+001	8.11372e+000	6.30000e-001
6.00000e-003	2.68786e-001	3.08700e-002	5.00000e+001	7.70703e+000	6.30000e-001
7.00000e-003	3.12478e-001	3.70440e-002	5.00000e+001	7.43531e+000	6.30000e-001
8.00000e-003	3.56147e-001	4.32180e-002	5.00000e+001	7.24072e+000	6.30000e-001
9.00000e-003	3.99795e-001	4.93920e-002	5.00000e+001	7.09433e+000	6.30000e-001
1.00000e-002	4.43421e-001	5.55660e-002	5.00000e+001	6.98008e+000	6.30000e-001
1.10000e-002	4.87026e-001	6.17400e-002	5.00000e+001	6.88833e+000	6.30000e-001
1.20000e-002	5.30608e-001	6.79140e-002	5.00000e+001	6.81294e+000	6.30000e-001
1.30000e-002	5.74169e-001	7.40880e-002	5.00000e+001	6.74982e+000	6.30000e-001
1.40000e-002	6.17708e-001	8.02620e-002	5.00000e+001	6.69614e+000	6.30000e-001
1.50000e-002	6.61225e-001	8.64360e-002	5.00000e+001	6.64988e+000	6.30000e-001
1.60000e-002	7.04720e-001	9.26100e-002	5.00000e+001	6.60955e+000	6.30000e-001
1.70000e-002	7.48194e-001	9.87840e-002	5.00000e+001	6.57404e+000	6.30000e-001
1.80000e-002	7.91646e-001	1.04958e-001	5.00000e+001	6.54250e+000	6.30000e-001
1.90000e-002	8.35076e-001	1.11132e-001	5.00000e+001	6.51427e+000	6.30000e-001
2.00000e-002	8.78485e-001	1.17306e-001	5.00000e+001	6.48883e+000	6.30000e-001
2.10000e-002	9.21871e-001	1.23480e-001	5.00000e+001	6.46575e+000	6.30000e-001
2.20000e-002	9.65236e-001	1.29654e-001	5.00000e+001	6.44471e+000	6.30000e-001
2.30000e-002	1.00858e+000	1.35828e-001	5.00000e+001	6.42542e+000	6.30000e-001
2.40000e-002	1.05190e+000	1.42002e-001	5.00000e+001	6.40765e+000	6.30000e-001
2.50000e-002	1.09520e+000	1.48176e-001	5.00000e+001	6.39122e+000	6.30000e-001
2.60000e-002	1.13848e+000	1.54350e-001	5.00000e+001	6.37596e+000	6.30000e-001
2.70000e-002	1.18174e+000	1.60524e-001	5.00000e+001	6.36174e+000	6.30000e-001
2.80000e-002	1.22497e+000	1.66698e-001	5.00000e+001	6.34845e+000	6.30000e-001
2.90000e-002	1.26819e+000	1.72872e-001	5.00000e+001	6.33598e+000	6.30000e-001
3.00000e-002	1.31138e+000	1.79046e-001	5.00000e+001	6.32424e+000	6.30000e-001
3.10000e-002	1.35455e+000	1.85220e-001	5.00000e+001	6.31318e+000	6.30000e-001
3.20000e-002	1.39770e+000	1.91394e-001	5.00000e+001	6.30271e+000	6.30000e-001
3.30000e-002	1.44082e+000	1.97568e-001	5.00000e+001	6.29279e+000	6.30000e-001
3.40000e-002	1.48393e+000	2.03742e-001	5.00000e+001	6.28337e+000	6.30000e-001
3.50000e-002	1.52701e+000	2.09916e-001	5.00000e+001	6.27440e+000	6.30000e-001
3.60000e-002	1.57008e+000	2.16090e-001	5.00000e+001	6.26584e+000	6.30000e-001
3.70000e-002	1.61312e+000	2.22264e-001	5.00000e+001	6.25766e+000	6.30000e-001
3.80000e-002	1.65614e+000	2.28438e-001	5.00000e+001	6.24982e+000	6.30000e-001
3.90000e-002	1.69913e+000	2.34612e-001	5.00000e+001	6.24231e+000	6.30000e-001
4.00000e-002	1.74211e+000	2.40786e-001	5.00000e+001	6.23509e+000	6.30000e-001
4.10000e-002	1.78507e+000	2.46960e-001	5.00000e+001	6.22815e+000	6.30000e-001
4.20000e-002	1.82800e+000	2.53134e-001	5.00000e+001	6.22146e+000	6.30000e-001
4.30000e-002	1.87091e+000	2.59308e-001	5.00000e+001	6.21501e+000	6.30000e-001
4.40000e-002	1.91380e+000	2.65482e-001	5.00000e+001	6.20878e+000	6.30000e-001
4.50000e-002	1.95667e+000	2.71656e-001	5.00000e+001	6.20275e+000	6.30000e-001
4.60000e-002	1.99952e+000	2.77830e-001	5.00000e+001	6.19691e+000	6.30000e-001
4.70000e-002	2.04234e+000	2.84004e-001	5.00000e+001	6.19125e+000	6.30000e-001
4.80000e-002	2.08515e+000	2.90178e-001	5.00000e+001	6.18576e+000	6.30000e-001
4.90000e-002	2.12793e+000	2.96352e-001	5.00000e+001	6.18042e+000	6.30000e-001
5.00000e-002	2.17069e+000	3.02526e-001	5.00000e+001	6.17523e+000	6.30000e-001
5.10000e-002	2.21344e+000	3.08700e-001	5.00000e+001	6.17018e+000	6.30000e-001
5.20000e-002	2.25615e+000	3.14874e-001	5.00000e+001	6.16526e+000	6.30000e-001
5.30000e-002	2.29885e+000	3.21048e-001	5.00000e+001	6.16046e+000	6.30000e-001
5.40000e-002	2.34153e+000	3.27222e-001	5.00000e+001	6.15578e+000	6.30000e-001
5.50000e-002	2.38418e+000	3.33396e-001	5.00000e+001	6.15120e+000	6.30000e-001
5.60000e-002	2.42682e+000	3.39570e-001	5.00000e+001	6.14674e+000	6.30000e-001
5.70000e-002	2.46943e+000	3.45744e-001	5.00000e+001	6.14236e+000	6.30000e-001
5.80000e-002	2.51202e+000	3.51918e-001	5.00000e+001	6.13809e+000	6.30000e-001
5.90000e-002	2.55459e+000	3.58092e-001	5.00000e+001	6.13390e+000	6.30000e-001
6.00000e-002	2.59714e+000	3.64266e-001	5.00000e+001	6.12979e+000	6.30000e-001
6.10000e-002	2.63967e+000	3.70440e-001	5.00000e+001	6.12576e+000	6.30000e-001
6.20000e-002	2.68217e+000	3.76614e-001	5.00000e+001	6.12181e+000	6.30000e-001
6.30000e-002	2.72466e+000	3.82788e-001	5.00000e+001	6.11793e+000	6.30000e-001
6.40000e-002	2.76712e+000	3.88962e-001	5.00000e+001	6.11412e+000	6.30000e-001
6.50000e-002	2.80957e+000	3.95136e-001	5.00000e+001	6.11037e+000	6.30000e-001
6.60000e-002	2.85199e+000	4.01310e-001	5.00000e+001	6.10669e+000	6.30000e-001
6.70000e-002	2.89439e+000	4.07484e-001	5.00000e+001	6.10306e+000	6.30000e-001
6.80000e-002	2.93677e+000	4.13658e-001	5.00000e+001	6.09950e+000	6.30000e-001
6.90000e-002	2.97912e+000	4.19832e-001	5.00000e+001	6.09598e+000	6.30000e-001
7.00000e-002	3.02146e+000	4.26006e-001	5.00000e+001	6.09252e+000	6.30000e-001
7.10000e-002	3.06377e+000	4.32180e-001	5.00000e+001	6.08911e+000	6.30000e-001
7.20000e-002	3.10607e+000	4.38354e-001	5.00000e+001	6.08575e+000	6.30000e-001
7.30000e-002	3.14834e+000	4.44528e-001	5.00000e+001	6.08243e+000	6.30000e-001
7.40000e-002	3.19059e+000	4.50702e-001	5.00000e+001	6.07916e+000	6.30000e-001
7.50000e-002	3.23282e+000	4.56876e-001	5.00000e+001	6.07593e+000	6.30000e-001
7.60000e-002	3.27503e+000	4.63050e-001	5.00000e+001	6.07274e+000	6.30000e-001
7.70000e-002	3.31722e+000	4.69224e-001	5.00000e+001	6.06959e+000	6.30000e-001
7.80000e-002	3.35939e+000	4.75398e-001	5.00000e+001	6.06648e+000	6.30000e-001
